ibge7_code,snapshot,avg_yearly_deforestation,lagged_deforestation,deforest_rel_forest_area,lagged_rel_forest_area,EG_InterMunicCop,EG_envir.council,EG_envir.fund,EG_envir.person,EG_envir.agency,GE_employees,GE_consortiums,GE_masterplan,ROL_div_land,ROL_U_improvement,ROL_U_neighborhood,ROL_zoning,RQ_ag_comp,RQ_nonag_comp,RQ_ag_personnel,RQ_non_ag_personnel,RQ_enterprise_incentive_existence,RQ_enterprise_restriction_existence,VA_n_candidates,VA_n_compan_communic,VA_prop_votes,VA_webpage,VA_mayor_woman,GE,RQ,VA,TT_cities_50K,munic.area.sq.km,state,forest_area,indig_land,crop_tot,distance_road,distance_river,crop_dens,cattle_tot,cattle_dens,popden,GDP_reais,pa
1600238,TS4,0.2,1.4249999999999998,6.176652254478074e-5,4.4008647313156264e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1506906,TS1,3.6499999999999995,9.625,0.028515624999999996,0.0751953125,0,0,0,-0.148380884,0,0.857036001452766,0,1,0,0,0,0,-0.267945543,-1.095642466,-0.264300313,-0.639509542,0,0,0.113301642,-0.175118649,-1.302017179,0,0,0.619012000484255,-0.377899644,-0.297178884,81.5248402473622,230,Para,0.34347826086956523,0,2266.25,2.31311296,6.598726064,9.853260869565217,5002.5,21.75,26.56195652173913,2943.372754429758,0.11740179560869565
1506906,TS2,0.125,3.6499999999999995,9.765625e-4,0.028515624999999996,0,0,0,-0.31307616,0,2.35873969583242,0,1,0,0,0,0,-0.329893923,-1.163693173,-0.316300254,-0.777163711,1,1,-0.80473129,-0.17940077,0.59917518299999994,1,0,1.11957989861081,-0.097841844,0.198610973,81.5248402473622,230,Para,0.34347826086956523,0,1292.5,2.31311296,6.598726064,5.619565217391305,3648.5,15.86304347826087,27.1,4836.90036900369,0.11740179560869565
1506906,TS3,0.07500000000000001,0.125,5.859375000000001e-4,9.765625e-4,0,0,0,-0.291810543,0,2.44889775977797,0,1,1,0,0,1,-0.688712461,-1.156213258,-0.316547984,-0.770107151,0,0,0.593359769,-0.18373172,0.382016503,1,0,1.14963258659266,-0.488596809,0.493844068,81.5248402473622,230,Para,0.34347826086956523,0,917.5,2.31311296,6.598726064,3.989130434782609,3760.4,16.349565217391305,27.880434782608695,7550.674463937622,0.11740179560869565
1506906,TS4,0.25,0.07500000000000001,0.001953125,5.859375000000001e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1502509,TS1,0.65,1.55,1.6113039167079822e-4,3.8423401090728805e-4,0,0,0,-0.148380884,0,-0.552558621676678,0,1,0,0,0,0,-0.334130925,-1.142179502,0.241092062,-0.77169773,0,0,0.113301642,-0.175118649,-1.152728028,0,0,0.149147126107774,-0.334486016,-0.259856597,720.074084068502,13116,Para,0.30718206770356815,0,0,7.78467889,6.783657562,0,76084.5,5.800892040256175,1.4148368405001526,3383.547987282427,0
1502509,TS2,1,0.65,2.4789291026276647e-4,1.6113039167079822e-4,0,0,0,-0.147039447,1,-0.935269301089905,0,1,0,0,0,1,-0.382269308,-1.241008768,0.198488826,-0.782264362,0,0,-0.80473129,-0.17940077,0.254941531,1,1,0.0215768996366983,-0.367842269,0.36255256,720.074084068502,13116,Para,0.30718206770356815,0,0,7.78467889,6.783657562,0,93906.5,7.159690454406832,1.6078453796889296,5419.171586409655,0
1502509,TS3,0.25,1,6.197322756569162e-5,2.4789291026276647e-4,0,0,0,0.763927964,1,-0.534594663143567,0,1,1,1,0,1,-0.500930481,-1.21951351,-0.316547984,-0.780312124,0,1,-0.125410424,-0.18373172,0.38432307,1,1,0.155135112285478,-0.302884017,0.564728162,720.074084068502,13116,Para,0.30718206770356815,0,0,7.78467889,6.783657562,0,79268.6,6.043656602622751,1.7100869167429094,7933.2753739494865,0
1502509,TS4,1.3,0.25,3.2226078334159644e-4,6.197322756569162e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1304401,TS1,0.4,2.4499999999999997,0.002898550724637681,0.017753623188405794,0,0,1,0.361793835,1,0.661643849919942,0,0,0,0.5,0.5,1,-0.810038709,-0.406560265,-0.264300313,-0.626978964,0,0,1.853614869,-0.175118649,-0.014662294,0,0,0.220547949973314,-0.351313042,0.459738144,625.161606299535,2915,Amazonas,0.045969125214408234,0,2549.25,22.09,7.238354528,0.8745283018867924,25815.5,8.856089193825042,4.505060034305317,3955.049591654134,0
1304401,TS2,0.4,0.4,0.002898550724637681,0.002898550724637681,0,0,0,0.259980755,1,-0.83427533403218,0,0,0,0,0,0,-0.792132146,-0.561468447,-0.316300254,-0.674938096,0,0,0.817404223,-0.17940077,-0.899185206,0,0,-0.278091778010727,-0.390806491,-0.020445246,625.161606299535,2915,Amazonas,0.045969125214408234,0,1008.5,22.09,7.238354528,0.34596912521440826,16883,5.791766723842196,6.288336192109777,5405.6081394397315,0
1304401,TS3,0.47500000000000003,0.4,0.0034420289855072467,0.002898550724637681,0,0,0,0.275353155,1,-0.869897864181296,0,0,1,0,0,0,-0.688712461,-0.777359128,-0.316547984,-0.707976922,1,0,0.593359769,-0.18373172,1.414183821,0,0,-0.289965954727099,-0.248432749,0.501885898,625.161606299535,2915,Amazonas,0.045969125214408234,0,426,22.09,7.238354528,0.14614065180102917,15854.2,5.438833619210978,7.161406518010292,5843.285190773874,0
1304401,TS4,0.05,0.47500000000000003,3.6231884057971015e-4,0.0034420289855072467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200328,TS1,3.65,7.7250000000000005,6.583694083694084e-4,0.0013933982683982686,0,0,0,1.396261289,1,3.98701228850086,0,0,0,0,0,0,-0.810038709,-1.075677421,-0.264300313,-0.77169773,0,0,-0.756854971,-0.175118649,0.43445378,1,0,1.32900409616695,-0.486952362,0.169399702,2953.68784504078,5635,Acre,0.9795918367346939,0.3883584738243123,1955.75,4.13400105,1.682789798,0.34707187222715175,5257,0.9329192546583851,0.962156166814552,6561.2394522063905,0.16915444788287487
1200328,TS2,5.575,3.65,0.0010055916305916307,6.583694083694084e-4,0,0,0,0.210802667,1,1.43227433145863,0,0,0,0,0.5,0,-0.792132146,-0.946037083,-0.316300254,-0.688317486,0,0,0.006336467,-0.17940077,-0.360265819,1,0,0.477424777152877,-0.457131162,0.161517662,2953.68784504078,5635,Acre,0.9795918367346939,0.3883584738243123,1401.25,4.13400105,1.682789798,0.24866903283052352,6063.75,1.076086956521739,1.1861135758651287,7800.411445670469,0.16915444788287487
1200328,TS3,3.1499999999999995,5.575,5.68181818181818e-4,0.0010055916305916307,1,1,0,0.506263517,1,2.03767105494008,0.75,0,0,0,0,0,-0.688712461,-0.999766401,-0.316547984,-0.695602479,0,0,-0.125410424,-0.17702288,0.159940598,1,0,0.929223684980027,-0.450104888,0.258632544,2953.68784504078,5635,Acre,0.9795918367346939,0.3883584738243123,1503.75,4.13400105,1.682789798,0.2668589174800355,5832,1.0349600709849156,1.3163708961845608,10037.868625931043,0.16915444788287487
1200328,TS4,4.9,3.1499999999999995,8.838383838383839e-4,5.68181818181818e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
